Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Krop og bevægelse,Hvad kaldes de lange hår langs hestens halskam?,100,manen,pandluggen,halen,hovskægget,,,
Krop og bevægelse,"Hvad kaldes hårtotten, der falder ned mellem ørerne over panden?",200,pandluggen,manen,haleroden,hovskægget,,,
Krop og bevægelse,Hvilken del af hoven bærer en stor del af belastningen langs ydersiden?,300,hovvæggen,manen,strålen alene,koden,,,
Krop og bevægelse,Hvad kaldes den konkave flade på undersiden af hoven omkring strålen?,400,sålen,kronranden,ballen,piben,,,
Krop og bevægelse,Hvad kaldes overgangen mellem hud og hov øverst på hoven?,500,kronranden,kodeleddet,strålefuren,hasebøjningen,,,
Pasning og sundhed,Hvad er formålet med vaccination af heste?,100,at stimulere immunforsvaret mod bestemte smitsomme sygdomme,at erstatte alt grovfoder,at helbrede alle skader øjeblikkeligt,at gøre hesten immun mod parasitter generelt,,,
Pasning og sundhed,Hvad betyder kolik hos heste?,200,"smerter fra bughulen, ofte knyttet til fordøjelsessystemet",en bestemt hudfarve,en normal hvileposition,en infektion kun i øret,,,
Pasning og sundhed,Hvad betyder halthed?,300,en ændret bevægelse på grund af smerte eller funktionsproblem,en bestemt type trav,at hesten sover stående,at hesten er født uden hale,,,
Pasning og sundhed,Hvad er formålet med karantæne for en nyankommen hest?,400,at mindske risikoen for at indføre smitsom sygdom i flokken,at træne hesten hurtigere,at ændre dens pelsfarve,at lære den nye gangarter,,,
Pasning og sundhed,"Hvilken struktur i hoven rammes ved forfangenhed, laminitis?",500,hovens lameller,manens hårsække,øjets hornhinde,halens ryghvirvler,,,
Racer og anvendelse,Hvilken hesterace bruges traditionelt ved Den Spanske Hofrideskole i Wien?,100,Lipizzaner,Frieser,Clydesdale,Appaloosa,,,
Racer og anvendelse,Fra hvilken nederlandsk provins stammer frieserhesten?,200,Friesland,Zeeland,Limburg,Groningen,,,
Racer og anvendelse,Fra hvilket land stammer Percheron-racen?,300,Frankrig,Italien,Tyskland,Portugal,,,
Racer og anvendelse,Hvilken race kaldes også Pura Raza Española?,400,den andalusiske hest,den arabiske hest,frieseren,fjordhesten,,,
Racer og anvendelse,Hvilken alperegion forbindes med Haflinger-racens oprindelse?,500,Tyrol og Sydtyrol,Normandiet,Andalusien,Transsylvanien,,,
Ridning og hestesport,Hvad er voltigering?,100,"gymnastiske øvelser på en hest, der bevæger sig på en cirkel",springning over faste terrænforhindringer,kapløb med vogn,dressur uden hest,,,
Ridning og hestesport,Hvad bruger kusken i køresport?,200,en hestevogn trukket af én eller flere heste,en sulky i alle discipliner,en longe uden vogn,et surfbræt,,,
Ridning og hestesport,Hvad er paradressur?,300,dressur tilpasset ryttere med funktionsnedsættelser,dressur kun for ponyer,springning uden sadel,galopløb for pensionerede heste,,,
Ridning og hestesport,Hvad er piaffe i dressur?,400,en stærkt samlet trav næsten på stedet,en hurtig firetakts galop,en stående vending på bagbenene,et spring over en bred forhindring,,,
Ridning og hestesport,Hvad er passage i dressur?,500,"en langsom, stærkt løftet og samlet trav",en lateral totakts pasgang,en hurtig arbejds-galop,en vending fra parade,,,
