Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og hovedstæder,Hvad er USA’s føderale hovedstad?,100,"Washington, D.C.",New York,Los Angeles,Philadelphia,,,
Lande og hovedstæder,Hvad er Japans hovedstad?,200,Tokyo,Kyoto,Osaka,Nagoya,,,
Lande og hovedstæder,Hvad er Mexicos hovedstad?,300,Mexico City,Guadalajara,Monterrey,Puebla,,,
Lande og hovedstæder,Hvad er Brasiliens hovedstad?,400,Brasília,Rio de Janeiro,São Paulo,Salvador,,,
Lande og hovedstæder,Hvad er Australiens hovedstad?,500,Canberra,Sydney,Melbourne,Perth,,,
"Bjerge, floder og landskaber",På hvilket kontinent ligger Gobiørkenen?,100,Asien,Afrika,Australien,Sydamerika,,,
"Bjerge, floder og landskaber",På hvilket kontinent ligger Atacamaørkenen?,200,Sydamerika,Afrika,Asien,Nordamerika,,,
"Bjerge, floder og landskaber",Hvad hedder Nordamerikas højeste bjerg?,300,Denali,Mount Logan,Mount Whitney,Pico de Orizaba,,,
"Bjerge, floder og landskaber",Hvad hedder Sydamerikas højeste bjerg?,400,Aconcagua,Huascarán,Chimborazo,Cotopaxi,,,
"Bjerge, floder og landskaber",Hvilken flod har skåret Grand Canyon ud?,500,Coloradofloden,Columbiafloden,Rio Grande,Missourifloden,,,
"Hav, øer og grænser",Hvilket land hører øen Hokkaido til?,100,Japan,Sydkorea,Rusland,Kina,,,
"Hav, øer og grænser",I hvilket ocean ligger Madagaskar?,200,Det Indiske Ocean,Atlanterhavet,Stillehavet,Det Arktiske Ocean,,,
"Hav, øer og grænser",Mellem hvilke verdensdele ligger Rødehavet?,300,Afrika og Asien,Europa og Afrika,Asien og Australien,Nordamerika og Sydamerika,,,
"Hav, øer og grænser","Hvilket hav ligger mellem Skandinavien, Finland, Baltikum og Centraleuropa?",400,Østersøen,Nordsøen,Sortehavet,Adriaterhavet,,,
"Hav, øer og grænser",Hvilket ocean regnes Det Caribiske Hav som en del af?,500,Atlanterhavet,Stillehavet,Det Indiske Ocean,Det Sydlige Ocean,,,
"Kort, klima og verdensdele",Hvad er en halvø?,100,land omgivet af vand på tre sider,en kæde af øer,en smal havpassage,et fladt område under havniveau,,,
"Kort, klima og verdensdele",Hvad er et arkipelag?,200,en øgruppe,en bjergkæde,et floddelta,en ørkenslette,,,
"Kort, klima og verdensdele",Hvad er en landtange?,300,en smal landstrimmel mellem større landområder,en bred floddal,en undersøisk bjergkæde,en gruppe vulkanøer,,,
"Kort, klima og verdensdele",Hvad er et floddelta?,400,et aflejringsområde ved en flods udmunding med forgrenede løb,et vandfald midt i en flod,en dyb sø skabt af is,en underjordisk vandstrøm,,,
"Kort, klima og verdensdele",Hvad er et vandskel?,500,en grænse mellem afvandingsområder,en grænse mellem tidszoner,en linje med samme temperatur,en kystlinje ved højvande,,,
