Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Første Verdenskrig,Hvilket slag i september 1914 standsede den tyske fremrykning mod Paris?,100,Det Første Slag ved Marne,Slaget ved Verdun,Slaget ved Somme,Slaget ved Tannenberg,,,
Første Verdenskrig,Hvilket langvarigt slag i 1916 blev et symbol på fransk modstand?,200,Verdun,Gallipoli,Caporetto,Jyllandsslaget,,,
Første Verdenskrig,Hvilket slag begyndte 1. juli 1916 og blev et af krigens blodigste på Vestfronten?,300,Somme,Marne,Ypres,Amiens,,,
Første Verdenskrig,Hvilken halvø var centrum for de allieredes mislykkede felttog i 1915?,400,Gallipoli,Krim,Bretagne,Jylland,,,
Anden Verdenskrig i Europa,Hvilket land kapitulerede efter den tyske offensiv i maj-juni 1940?,100,Frankrig,Spanien,Sverige,Schweiz,,,
Anden Verdenskrig i Europa,Fra hvilken fransk havneby blev over 300.000 allierede soldater evakueret i 1940?,200,Dunkerque,Calais,Bordeaux,Cherbourg,,,
Anden Verdenskrig i Europa,Hvad hed luftkampagnen mellem Tyskland og Storbritannien i 1940?,300,Slaget om England,Slaget om Atlanten,Operation Torch,Operation Husky,,,
Anden Verdenskrig i Europa,Hvad kaldes de tyske bombeangreb mod britiske byer i 1940-1941?,400,The Blitz,The Phoney War,The Great Raid,The Blackout,,,
Global krig og Holocaust,Hvilken ø blev centrum for en lang allieret kampagne fra august 1942?,100,Guadalcanal,Iwo Jima,Okinawa,Saipan,,,
Global krig og Holocaust,Hvad kaldes den allierede strategi med at erobre udvalgte øer og omgå andre?,200,"øhop, island hopping",blitzkrieg,brændt jord,ubådsblokade,,,
Global krig og Holocaust,På hvilken japansk by blev den første atombombe anvendt i krig den 6. august 1945?,300,Hiroshima,Nagasaki,Tokyo,Kobe,,,
Global krig og Holocaust,På hvilken japansk by blev den anden atombombe kastet den 9. august 1945?,400,Nagasaki,Hiroshima,Osaka,Kyoto,,,
"Danmark, Norden og efterspil",Til hvilket neutralt land blev størstedelen af de danske jøder bragt i sikkerhed i oktober 1943?,100,Sverige,Schweiz,Irland,Spanien,,,
"Danmark, Norden og efterspil",Hvilken dansk fysiker flygtede til Sverige i 1943 og kom senere til Storbritannien?,200,Niels Bohr,August Krogh,Tycho Brahe,H.C. Ørsted,,,
"Danmark, Norden og efterspil","Hvad hed det tværpolitiske organ, der fra 1943 søgte at samordne den danske modstand?",300,Danmarks Frihedsråd,Rigsdagen,Folkeforbundet,Atlantkomitéen,,,
