Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Pionerer og milepæle,Hvem blev det første menneske i rummet?,100,Jurij Gagarin,Alan Shepard,John Glenn,Aleksej Leonov,,,
Pionerer og milepæle,Hvilket dyr blev sendt i kredsløb om Jorden med Sputnik 2?,200,hunden Laika,chimpansen Ham,katten Félicette,hunden Belka,,,
Pionerer og milepæle,Hvem blev den første kvinde i rummet?,300,Valentina Teresjkova,Svetlana Savitskaja,Sally Ride,Mae Jemison,,,
Pionerer og milepæle,Hvad hed rumfartøjet på Jurij Gagarins historiske flyvning?,400,Vostok 1,Voskhod 1,Soyuz 1,Mercury 6,,,
Raketter og rumfartøjer,Hvorfor bygges mange raketter i flere trin?,100,for at kassere tom masse under opstigningen,for at skabe kunstig tyngdekraft,for at undgå brug af oxidationsmiddel,for at gøre raketten tungere i kredsløb,,,
Raketter og rumfartøjer,Hvad kendetegner en faststofraketmotor?,200,brændstof og oxidationsmiddel er blandet i et fast drivmiddel,den bruger kun flydende hydrogen,den kan altid slukkes og startes frit,den kræver ilt fra atmosfæren,,,
Raketter og rumfartøjer,Hvad kendetegner en typisk raketmotor med flydende drivmidler?,300,brændstof og oxidationsmiddel opbevares i separate tanke,den har intet oxidationsmiddel,den kan kun bruges under vand,drivmidlet er støbt som én fast blok,,,
Raketter og rumfartøjer,Hvilket stof bruges ofte som oxidationsmiddel i kryogene raketmotorer?,400,flydende ilt,flydende kvælstof,flydende helium,flydende neon,,,
Månen og Mars,Hvilken Apollo-mission landede tæt ved Surveyor 3 for at hente dele fra sonden?,100,Apollo 12,Apollo 11,Apollo 14,Apollo 15,,,
Månen og Mars,Hvilken Apollo-mission brugte den første Lunar Roving Vehicle på Månen?,200,Apollo 15,Apollo 12,Apollo 13,Apollo 14,,,
Månen og Mars,Hvilken Apollo 17-astronaut var uddannet geolog?,300,Harrison Schmitt,Gene Cernan,Ron Evans,Alan Bean,,,
Månen og Mars,Hvilken mission gennemførte den første bløde landing på Månens bagside?,400,Chang’e 4,Chang’e 3,Luna 24,Chandrayaan-2,,,
Satellitter og rumstationer,Hvad hed den første vellykkede meteorologiske satellit?,100,TIROS-1,Telstar 1,Vanguard 1,Skylab,,,
Satellitter og rumstationer,"Hvilken satellitserie begyndte i 1972 med Earth Resources Technology Satellite, senere Landsat 1?",200,Landsat,Galileo,Voyager,Apollo,,,
Satellitter og rumstationer,Hvad er hovedformålet med navigationssystemet GPS?,300,at bestemme position og tid ved hjælp af satellitsignaler,at måle havdybde med sonar,at sende mennesker til Månen,at skabe kunstig tyngdekraft,,,
