Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Fødsel og udvikling,Hvordan fødes kaninunger normalt med hensyn til hørelse?,100,døve,med voksen hørelse,kun i stand til at høre ultralyd,med ét fungerende øre,,,
Fødsel og udvikling,Hvornår begynder kaninungers øjne og ører typisk at åbne?,200,omkring dag 10,inden for den første time,omkring uge 8,først ved kønsmodenhed,,,
Fødsel og udvikling,Hvornår kan nyfødte kaninunger omtrent regulere deres egen kropstemperatur?,300,omkring dag 7,ved fødslen,omkring måned 3,først efter fravænning,,,
Fødsel og udvikling,Hvad begynder at vokse på kaninunger få dage efter fødslen?,400,pels,fjer,skæl,gevir,,,
Rede og moderpleje,Hvad bør man først kontrollere ved et dagligt kig i en rede?,100,"at ungerne er varme, samlet og ser mætte ud",at de kan springe en meter,at de allerede spiser frugt,at de kan svømme,,,
Rede og moderpleje,"Hvad bør man gøre med en unge, der er kravlet ud af reden og er blevet kold?",200,få den varmet forsigtigt og lagt sikkert tilbage,vaske den i koldt vand,lade den ligge alene,fodre den med komælk straks,,,
Rede og moderpleje,"Hvilken professionel bør kontaktes, hvis moderen ikke dier eller ungerne virker svage?",300,en kaninkyndig dyrlæge,en automekaniker,en tandtekniker,en landmåler,,,
Rede og moderpleje,Hvorfor er håndopmadning af kaninunger vanskelig?,400,deres ernæring og tarmflora er meget følsom,de kan ikke synke væske,de tåler kun saltvand,de behøver ingen varme,,,
Foder og sundhed,Hvilken drik skal kaniner altid have fri adgang til?,100,friskt vand,mælk,sodavand,juice,,,
Foder og sundhed,Hvad er gastrointestinal stase hos kaniner?,200,farligt nedsat bevægelse i mave-tarm-kanalen,en normal søvnfase,en type pelsfarve,en naturlig form for dvale,,,
Foder og sundhed,Hvilket tegn kræver hurtig veterinær vurdering hos en kanin?,300,at den holder op med at spise,at den vasker ansigtet,at den lægger sig afslappet,at den tygger hø,,,
Foder og sundhed,Hvilket afføringsproblem hos en kaninunge kan hurtigt blive alvorligt?,400,diarré,store tørre høstrå,normal cecotrofproduktion,midlertidigt pelsfæld,,,
Adfærd og ansvarligt kaninhold,Hvad betyder et kraftigt tramp med bagbenet ofte?,100,alarm eller advarsel,søvn,sult efter mælk,at kaninen er døv,,,
Adfærd og ansvarligt kaninhold,Hvornår er kaniner ofte mest aktive?,200,ved daggry og skumring,kun midt på dagen,kun ved midnat,kun om vinteren,,,
Adfærd og ansvarligt kaninhold,Hvilken naturlig adfærd skal et godt kaninmiljø give plads til?,300,"at løbe, grave, hoppe og rejse sig",at sidde stille hele dagen,at svømme i dybt vand,at klatre lodret som en gekko,,,
