Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1992?,100,Barcelona,Madrid,Sevilla,Lissabon,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1984?,200,Los Angeles,Chicago,New York,San Francisco,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1964?,300,Tokyo,Osaka,Kyoto,Sapporo,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 2004?,400,Athen,Thessaloniki,Rom,Istanbul,,,
Sportsgrene og discipliner,Hvilke to discipliner indgår i nordisk kombination?,100,skihop og langrend,alpint skiløb og skiskydning,curling og skøjteløb,snowboard og freestyle,,,
Sportsgrene og discipliner,Hvilken vintersport køres liggende på ryggen med fødderne forrest på en lille slæde?,200,"kælk, luge",skeleton,bobslæde,speed skating,,,
Sportsgrene og discipliner,Hvilken vintersport køres med hovedet forrest på en lille slæde?,300,skeleton,luge,bobslæde,skicross,,,
Sportsgrene og discipliner,Hvor mange spillere har et basketballhold normalt på banen ad gangen?,400,5,6,7,11,,,
Symboler og organisation,I hvilket år blev Den Internationale Olympiske Komité grundlagt?,100,1894,1896,1900,1912,,,
Symboler og organisation,I hvilken by blev IOC grundlagt ved den olympiske kongres i 1894?,200,Paris,Athen,Lausanne,London,,,
Symboler og organisation,Hvem var IOC’s første præsident?,300,Demetrios Vikelas,Pierre de Coubertin,Juan Antonio Samaranch,Avery Brundage,,,
Symboler og organisation,Hvad hedder det grundlæggende regelsæt for den olympiske bevægelse?,400,Det Olympiske Charter,Lausanne-traktaten,Olympia-kodeksen,Sportsforfatningen,,,
Atleter og præstationer,Hvilken atlet vandt fire guldmedaljer ved OL i Berlin 1936?,100,Jesse Owens,Paavo Nurmi,Emil Zátopek,Carl Lewis,,,
Atleter og præstationer,Hvilken finsk løber vandt ni olympiske guldmedaljer i 1920’erne?,200,Paavo Nurmi,Lasse Virén,Hannes Kolehmainen,Ville Ritola,,,
Atleter og præstationer,Hvilken gymnast vandt i alt 18 olympiske medaljer for Sovjetunionen?,300,Larisa Latynina,Věra Čáslavská,Polina Astakhova,Ludmilla Tourischeva,,,
