Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Historie og idégrundlag,På hvilken ø ligger Galtrup Efterskole?,100,Mors,Samsø,Bornholm,Langeland,,,
Historie og idégrundlag,Hvorfor blev flere efterskoler oprettet nær den dansk-tyske grænse fra 1874?,200,for at undervise dansksindede unge fra Slesvig,for at uddanne søofficerer,for at drive universitetsforskning,for at erstatte alle landsbyskoler,,,
Historie og idégrundlag,Hvorfor udviklede grænseskolerne sig som kostskoler?,300,eleverne skulle ikke krydse grænsen hver dag,der fandtes ingen veje i Danmark,lærerne måtte ikke bo hjemme,undervisning var kun tilladt om natten,,,
Historie og idégrundlag,Hvad blev efterskolerne ved den gamle Kongeågrænse ofte kaldt?,400,Kongeåskolerne,Latinskolerne,Rytterskolerne,Navigationsskolerne,,,
Skoleform og rammer,Hvad bygger en efterskole normalt på?,100,et værdigrundlag eller en pædagogisk idé,en kommunal partiprogram,en virksomheds salgsstrategi,en militær rangorden,,,
Skoleform og rammer,Hvad betyder “stå mål med-kravet”?,200,at undervisningen samlet skal kunne måle sig med folkeskolens,at alle fag skal have præcis samme timetal,at alle skoler skal bruge samme bøger,at alle elever skal have samme karakter,,,
Skoleform og rammer,Må efterskoler kalde fagene noget andet eller samle dem i projekter?,300,"ja, hvis undervisningen samlet står mål med folkeskolen","nej, alle skemaer skal være identiske",kun i weekender,kun efter universitetets regler,,,
Skoleform og rammer,Er en efterskole direkte bundet af folkeskolens vejledende timetal i hvert enkelt fag?,400,nej,"ja, uden undtagelse",kun i musik,kun i sommerferien,,,
Hverdag og fællesskab,Hvad er formålet med fælles måltider?,100,at kombinere mad med dagligt fællesskab,at erstatte undervisning,at kontrollere karakterer,at undgå samtale,,,
Hverdag og fællesskab,"Hvad kaldes en fælles samling med beskeder, fortælling eller sang ofte?",200,morgensamling,censormøde,bestyrelsesvalg,privatistprøve,,,
Hverdag og fællesskab,Hvilken aktivitet har en praktisk opgave som køkkentjans typisk til formål at træne?,300,ansvar for fælles opgaver,professionel kokkeautorisation,individuel konkurrence,fravær fra fællesskabet,,,
Hverdag og fællesskab,Hvad er den mest konstruktive reaktion på konflikt med en værelseskammerat?,400,"tale roligt og søge hjælp, hvis det er nødvendigt",sprede rygter,ødelægge den andens ting,ignorere alle aftaler,,,
"Fag, prøver og elevdemokrati",Hvad er uddannelsesvejledningens formål?,100,at støtte et oplyst valg af ungdomsuddannelse,at vælge uddannelse for eleven,at udstede kørekort,at erstatte undervisning,,,
"Fag, prøver og elevdemokrati",Hvad er brobygning i 10. klasse?,200,"forløb, hvor elever oplever en ungdomsuddannelse",bygning af en fysisk bro,en prøve i geografi,et forældremøde,,,
"Fag, prøver og elevdemokrati",Hvad står OSO traditionelt for i 10. klasse?,300,Obligatorisk Selvvalgt Opgave,Offentlig Skoleordning,Organiseret Samværsøvelse,Opholds- og StøtteOversigt,,,
