Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Grækenland og Rom,Hvilken græsk gud er gudernes budbringer?,100,Hermes,Apollo,Ares,Hefaistos,,,
Grækenland og Rom,Hvilken græsk gudinde forbindes med jagt og vilde dyr?,200,Artemis,Demeter,Athene,Hera,,,
Grækenland og Rom,"Hvilken græsk gud forbindes med musik, profeti og oraklet i Delfi?",300,Apollo,Dionysos,Poseidon,Hermes,,,
Grækenland og Rom,Hvilken græsk gudinde forbindes med korn og landbrug?,400,Demeter,Hestia,Afrodite,Nike,,,
Egyptens gudeverden,"Hvilken egyptisk gud forbindes med ørken, uorden og storme?",100,Seth,Shu,Geb,Ptah,,,
Egyptens gudeverden,Hvilken sjakalhovedet gud forbindes med balsamering og gravritualer?,200,Anubis,Horus,Sobek,Khnum,,,
Egyptens gudeverden,"Hvilken gud forbindes med skrift, visdom og ofte afbildes med ibishoved?",300,Thoth,Amun,Seth,Bes,,,
Egyptens gudeverden,"Hvilken gudinde forbindes med glæde, musik og moderskab og afbildes ofte med kohorn?",400,Hathor,Sekhmet,Neith,Maat,,,
Mesopotamien og Nærorienten,Hvilken sumerisk gud forbindes med himlen?,100,An,Enki,Nanna,Utu,,,
Mesopotamien og Nærorienten,"Hvilken gud forbindes med vind, autoritet og byen Nippur?",200,Enlil,Ea,Nergal,Dagon,,,
Mesopotamien og Nærorienten,Hvilken gud kaldes Enki på sumerisk og Ea på akkadisk?,300,visdommens og ferskvandets gud,måneguden,krigsguden,dødsguden,,,
Mesopotamien og Nærorienten,Hvilken solgud forbindes med retfærdighed og kaldes Utu eller Shamash?,400,Utu-Shamash,Nanna-Sin,Adad-Teshub,Nabu-Mercurius,,,
Myter fra andre kulturer,Hvilken vedisk og hinduistisk gud forbindes med torden og lyn?,100,Indra,Agni,Vishnu,Yama,,,
Myter fra andre kulturer,Hvilken hinduistisk gud personificerer den rituelle ild?,200,Agni,Soma,Surya,Brahma,,,
Myter fra andre kulturer,Hvilken hinduistisk gud forbindes med bevarelse og avatarer som Rama og Krishna?,300,Vishnu,Shiva,Indra,Ganesha,,,
