Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Celler og krop,"Hvilket organsystem består blandt andet af hjerne, rygmarv og nerver?",100,nervesystemet,lymfesystemet,åndedrætssystemet,urinvejssystemet,,,
Celler og krop,"Hvilket organsystem transporterer ilt, næringsstoffer og affaldsstoffer rundt i kroppen?",200,kredsløbssystemet,fordøjelsessystemet,hormonsystemet,hudsystemet,,,
Celler og krop,Hvilken celletype er specialiseret til at lede elektriske signaler i nervesystemet?,300,neuronen,erytrocytten,osteocytten,adipocytten,,,
Celler og krop,Hvad er et enzym?,400,en biologisk katalysator,et energilager i cellekernen,en type blodcelle,et uorganisk salt alene,,,
Celler og krop,Hvad kaldes kroppens evne til at holde indre forhold relativt stabile?,500,homeostase,metamorfose,fotosyntese,fermentering,,,
Celler og krop,Hvilken celledeling danner to genetisk næsten identiske datterceller?,600,mitose,meiose,befrugtning,translation,,,
Celler og krop,Hvilken celledeling danner kønsceller med halvt kromosomtal?,700,meiose,mitose,knopskydning,binær fission hos alle eukaryoter,,,
Celler og krop,Hvilke to proteiner er centrale for sammentrækning i skeletmuskler?,800,aktin og myosin,insulin og glukagon,keratin og melanin,DNA og RNA,,,
Arv og evolution,Hvad kaldes menneskers målrettede avl efter bestemte egenskaber?,100,kunstig selektion,naturlig selektion,genetisk drift,økologisk succession,,,
Arv og evolution,Hvad dokumenterer fossiler blandt andet?,200,tidligere livsformer og forandringer gennem tiden,at alle arter altid har været uændrede,kun nulevende organismers adfærd,Jordens aktuelle vejr,,,
Arv og evolution,Hvem indførte det binomiale system med slægtsnavn og artsnavn?,300,Carl von Linné,Gregor Mendel,Rosalind Franklin,Alfred Wegener,,,
Arv og evolution,Hvilket taksonomisk niveau kommer direkte over art?,400,slægt,familie,orden,række,,,
Arv og evolution,Hvad kaldes dannelsen af nye arter?,500,artsdannelse,homeostase,transpiration,succession,,,
Arv og evolution,Hvad tyder homologe strukturer hos forskellige arter ofte på?,600,fælles evolutionært ophav,identisk levevis uden slægtskab,samme antal individer,at arterne er genetisk ens i alle gener,,,
Arv og evolution,Hvad er genflow?,700,overførsel af alleler mellem populationer gennem migration og formering,tilfældig celledød,kopiering af RNA til protein,tab af energi mellem trofiske niveauer,,,
Arv og evolution,Hvad er genetisk drift?,800,"tilfældige ændringer i allelfrekvenser, især i små populationer",målrettet tilpasning udført af individer,transport af vand i planter,udveksling af energi i en fødekæde,,,
Planter og svampe,Hvad er et mycelium?,100,et netværk af svampetråde,en plantes ledningsstreng,en bakteries cellekerne,en blomsts frugtknude,,,
Planter og svampe,Hvad er en lav?,200,et samliv mellem en svamp og en fotosyntetisk partner,en mosart med dybe rødder,en parasitisk blomsterplante,en koloni af kun dyreceller,,,
Planter og svampe,Hvordan skaffer svampe sig typisk næring?,300,ved at udskille enzymer og optage opløste stoffer,ved fotosyntese i kloroplaster,ved at filtrere blod,ved at danne uorganiske mineraler,,,
Planter og svampe,Hvilket stof består svampes cellevægge hovedsageligt af?,400,kitin,cellulose,stivelse,kollagen,,,
Planter og svampe,Hvad kaldes et gensidigt fordelagtigt samliv mellem planterødder og svampe?,500,mykorrhiza,parasitisme,bestøvning,fermentering,,,
Planter og svampe,Hvilken reaktion får en plantes skud til at vokse mod lys?,600,positiv fototropisme,negativ geotropisme,kemotakse,dvale,,,
Planter og svampe,Hvilket plantehormon forbindes især med strækningsvækst og bøjning mod lys?,700,auxin,insulin,adrenalin,testosteron,,,
Økologi og dyr,Hvor mange ben har spindlere typisk?,100,8,6,10,12,,,
Økologi og dyr,Hvilken egenskab kendetegner alle hvirveldyr?,200,en rygsøjle eller hvirvelsøjle,seks ben,ydre skelet af kitin,fjer,,,
Økologi og dyr,Hvad er camouflage?,300,"en tilpasning, der gør en organisme sværere at opdage",en metode til at producere varme,en type formering uden DNA,en ændring af kromosomtallet,,,
Økologi og dyr,Hvad er vinterdvale?,400,en længere periode med stærkt nedsat aktivitet og stofskifte,daglig jagt om vinteren,en permanent uddøen,en fase med øget kropstemperatur,,,
Økologi og dyr,Hvad er migration hos dyr?,500,regelmæssig bevægelse mellem levesteder,tilfældig mutation i én celle,skift fra plante til svamp,dannelse af et nyt organ,,,
Økologi og dyr,Hvad er mutualisme?,600,"et samliv, hvor begge arter har fordel","et samliv, hvor den ene dræbes straks",konkurrence inden for samme individ,et forhold uden påvirkning af nogen part,,,
Økologi og dyr,Hvad er parasitisme?,700,"et samliv, hvor parasitten gavnes og værten skades","et samliv, hvor begge gavnes",et forhold mellem to producenter uden kontakt,en fødekæde uden forbrugere,,,
