Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Krop og bevægelse,"Hvor mange taktslag har galop i almindelig ridebetydning, canter?",100,tre,to,fire,fem,,,
Krop og bevægelse,Hvad kan hesten gøre med sine ydre ører?,200,dreje dem for at lokalisere lyd og signalere opmærksomhed,lukke dem helt som øjenlåg,bruge dem til at tygge,ændre deres længde efter temperatur,,,
Krop og bevægelse,I hvilken enhed angives hestehøjde traditionelt i mange engelsksprogede lande?,300,hands,fod alene,yards,pounds,,,
Krop og bevægelse,"Hvor mange taktslag har fuld, hurtig galop typisk?",400,fire,ét,to,tre,,,
Krop og bevægelse,Hvad er tölt?,500,en firetakts gangart uden svævemoment,en totakts diagonal gangart,en springøvelse,en dressurpirouette,,,
Krop og bevægelse,Hvad kendetegner pasgang?,600,benene på samme side bevæges næsten samtidig i en lateral totakt,diagonale benpar bevæges samtidig,alle fire hove er altid i jorden,kun bagbenene bevæger sig,,,
Krop og bevægelse,Hvordan er hestens synsfelt typisk fordelt?,700,et bredt synsfelt med meget monokulært syn og mindre binokulært felt foran,kun binokulært syn som et rovdyr,syn udelukkende bagud,et synsfelt på under 90 grader,,,
Krop og bevægelse,"Hvordan er hestens forben forbundet med kroppen, når den ikke har et egentligt kraveben?",800,gennem muskler og bindevæv i en thorakal slynge,gennem et fast kugleled i brystbenet,gennem en knoglebro mellem skulderbladene,direkte til rygsøjlen med et hængsel,,,
Pasning og sundhed,Hvorfor er god ventilation vigtig i en stald?,100,"den reducerer ophobning af støv, fugt og irriterende gasser",den gør alt foder mere energirigt,den erstatter udmugning,den holder altid stalden helt varm,,,
Pasning og sundhed,"Hvilken type smitstof forårsager equint herpesvirus, EHV?",200,virus,bakterie,svamp,indvoldsorm,,,
Pasning og sundhed,Hvilken sygdom er en meget smitsom luftvejsinfektion forårsaget af influenzavirus?,300,hesteinfluenza,forfangenhed,kolik,spat,,,
Pasning og sundhed,Hvilken alvorlig sygdom forårsages af bakterien Clostridium tetani?,400,stivkrampe,hesteinfluenza,kværke,ringorm,,,
Pasning og sundhed,Hvilken særlig begrænsning har hestens fordøjelsessystem?,500,heste kan normalt ikke kaste op effektivt,heste har fire maver som kvæg,heste fordøjer cellulose i munden,heste mangler tyndtarm,,,
Pasning og sundhed,Hvilken sygdom kaldes “strangles” på engelsk og skyldes bakterien Streptococcus equi?,600,kværke,hesteinfluenza,stivkrampe,sur stråle,,,
Pasning og sundhed,Hvad kan en gødningsprøve med optælling af ormeæg bruges til?,700,at planlægge målrettet parasitkontrol,at bestemme hestens race,at måle hovens vinkel,at diagnosticere alle virussygdomme,,,
Pasning og sundhed,Hvilken plante kan ved gentagen indtagelse give alvorlig leverskade hos heste?,800,engbrandbæger,almindelig mælkebøtte,timothegræs,hvidkløver,,,
Racer og anvendelse,Hvilken race er udviklet især til trav- og pasløb foran sulky?,100,Standardbred,Shire,Lipizzaner,Connemara,,,
Racer og anvendelse,Fra hvilket tysk område stammer hannoveraneren?,200,Hannover-regionen,Bayern,Sachsen,Saarland,,,
Racer og anvendelse,Fra hvilken tysk delstat stammer holsteneren?,300,Schleswig-Holstein,Hessen,Thüringen,Brandenburg,,,
Racer og anvendelse,Hvilket land forbindes Akhal-Teke-racen især med?,400,Turkmenistan,Mongoliet,Georgien,Nepal,,,
Racer og anvendelse,I hvilket land blev miniaturehesten Falabella udviklet?,500,Argentina,Mexico,Spanien,Canada,,,
Racer og anvendelse,Fra hvilket engelsk hedeområde stammer Exmoor-ponyen?,600,Exmoor,Dartmoor alene,New Forest,Yorkshire Dales,,,
Racer og anvendelse,Fra hvilket område i Nordengland stammer Dales-ponyen?,700,Penninerne og Yorkshire Dales,Cornwall,Kent,East Anglia,,,
Ridning og hestesport,Hvad er en omspringning?,100,"en ekstra runde, der afgør placering mellem fejlfrie eller ligeplacerede ekvipager",en ny dressurklasse dagen efter,opvarmning før terrænridt,et skift af hest midt i løbet,,,
Ridning og hestesport,Hvad er en sulky?,200,en let tohjulet vogn til trav- eller pasløb,en tung firehjulet arbejdsvogn,en type springsadel,en longegjord til voltigering,,,
Ridning og hestesport,Hvad kendetegner et steeplechase-løb?,300,et galopløb over faste eller naturlignende forhindringer,et dressurprogram til musik,et travløb uden forhindringer,en kørekonkurrence gennem kegler,,,
Ridning og hestesport,Hvad gør ryttere under en banegennemgang til fods før springning?,400,"de studerer linjer, afstande og rækkefølge på banen",de flytter alle forhindringer frit,de bedømmer hestens tænder,de vælger hestens race,,,
Ridning og hestesport,Hvordan bevæges en voltigeringshest normalt under programmet?,500,på en cirkel i longe,frit gennem en terrænbane,foran en sulky,i startbokse på en galopbane,,,
Ridning og hestesport,Hvad testes i keglekørsel eller cones i køresport?,600,præcision og tid gennem porte markeret med kegler,hestens evne til at svømme,gymnastik på vognens tag,kun kuskens teoretiske viden,,,
Ridning og hestesport,Hvad kendetegner maratonfasen i kombineret kørsel?,700,en terrænpræget fase med forhindringer og porte,et dressurprogram uden vogn,et kort galopløb på ovalbane,en springbane for ryttere,,,
