Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Skæve taktarter og danse,Hvad adskiller ofte en Balkan-karsilamas i 9/8 fra en vestlig 9/8-jig?,100,"Karsilamas grupperer pulsen ulige, ofte 2+2+2+3",Karsilamas mangler grundpuls,Jiggen spilles altid i 4/4,Karsilamas har kun tre ottendedele,,,
Skæve taktarter og danse,Hvad betegner usul i osmannisk og tyrkisk musikteori?,200,et organiseret rytmisk mønster eller kredsløb,en bestemt skalatype,en slags strengeinstrument,en vokal improvisation uden puls,,,
Skæve taktarter og danse,Hvad er det serbiske kolo?,300,en kollektiv kæde- eller kredsdans,en solosang for gusle,en type sækkepibe,en begravelsesmarch,,,
Skæve taktarter og danse,Hvad betegner oro oftest i nordmakedonsk musik- og dansekultur?,400,en kæde- eller kredsdans,en religiøs hymne,en trompettype,en solosang uden dans,,,
Skæve taktarter og danse,Hvad er en rumænsk hora typisk?,500,en fælles kredsdans,en fri klagesang,en militær trommemarch,en hyrdefløjte,,,
Skæve taktarter og danse,Hvordan organiseres en græsk syrtos normalt på dansegulvet?,600,som en åben kæde eller kreds med en leder,som fire adskilte solodansere,som siddende pardans,som en march uden håndfatning,,,
Skæve taktarter og danse,Hvilken danse- og musikform findes i flere Balkanlande under navne som čoček og kyuchek?,700,en livlig form med osmanniske og romani forbindelser,en nordisk polska,en portugisisk fado,en irsk reel,,,
Skæve taktarter og danse,Hvilken formulering om skæve taktarter er mest præcis?,800,"De er udbredte i mange, men ikke alle, Balkantraditioner",Al Balkanmusik går i skæve taktarter,Skæve taktarter findes kun hos Roma,Balkanmusik bruger aldrig lige taktarter,,,
Roma og musik på tværs,Hvilket instrument var Ferus Mustafov især kendt for?,100,saxofon,bouzouki,gaida,tapan,,,
Roma og musik på tværs,Hvilket instrument forbindes især med den tyrkisk-romani musiker Selim Sesler?,200,klarinet,kanun,trompet,tamburica,,,
Roma og musik på tværs,"Hvem forbindes med udformningen af sangen Gelem, Gelem som international Roma-hymne?",300,Žarko Jovanović,Goran Bregović,Mikis Theodorakis,George Enescu,,,
Roma og musik på tværs,Hvad betegner muzica lăutărească?,400,rumænsk musik knyttet til professionelle lăutari,græsk kirkesang,kroatisk a cappella-korsang,bulgarsk sækkepibemusik alene,,,
Roma og musik på tværs,I hvilket land forbindes den moderne populærgenre manele især med romani musikere?,500,Rumænien,Slovenien,Kroatien,Grækenland,,,
Roma og musik på tværs,Hvorfor er det misvisende at omtale Roma-musik som én ensartet genre?,600,"Musikerne har tilpasset sig mange lokale sprog, repertoirer og ritualer",Roma har kun spillet klassisk musik,Roma-musik findes kun i ét land,Alle Roma-ensembler bruger de samme instrumenter,,,
Roma og musik på tværs,Hvad har især hjulpet musikalske former med at krydse Balkanområdets moderne grænser?,700,mobile musikernetværk og optræden ved fælles ritualer,forbud mod levende musik,ens nationale skolebøger,fælles statslige radioer siden middelalderen,,,
Roma og musik på tværs,Hvad kaldes ofte den ledende violinist i et ungarsk-romani ensemble?,800,primás,müezzin,guslar,zurnacı,,,
Instrumenter og ensembler,Hvordan frembringes tonen på en kanun?,100,strengene knipses,strengene stryges med bue,skindet slås med køller,luft blæses gennem en sæk,,,
Instrumenter og ensembler,Hvad er en oud?,200,en korthalset lut,en panfløjte,en rammetromme,en messingbas,,,
Instrumenter og ensembler,Hvilket græsk instrument er beslægtet med det hamrede cimbalom?,300,santouri,lyra,gaida,zurna,,,
Instrumenter og ensembler,Hvordan spilles en traditionel lyra i flere græske regioner?,400,med bue,med køller,ved at blæse i en sæk,ved at slå på et skind,,,
Instrumenter og ensembler,Hvad er den rumænske nai?,500,en panfløjte,en langhalset lut,en rammetromme,en trompet,,,
Instrumenter og ensembler,Hvilken type instrument er den rumænske og moldoviske cobza?,600,en korthalset lut,en sækkepibe,en panfløjte,en dobbeltrørspibe,,,
Instrumenter og ensembler,Hvilket vestligt blæseinstrument blev markant i bulgarsk bryllups- og romani musik i det 20. århundrede?,700,saxofon,blokfløjte,valdhorn,engelsk horn,,,
"Stilarter, sange og steder",Hvilken danse- og musikform er kendt som čoček eller kyuchek i forskellige Balkanområder?,100,en osmannisk præget form med stærke romani forbindelser,en norsk springdans,en spansk flamencostil,en fransk pardans,,,
"Stilarter, sange og steder",Hvilken forårsfest forbindes den kendte romani sang Ederlezi med?,200,Đurđevdan eller Hıdırellez,jul,ramadanens afslutning alene,nytårsaften,,,
"Stilarter, sange og steder","Hvilket land forbindes folkesangen Jovano, Jovanke især med?",300,Nordmakedonien,Kroatien,Rumænien,Slovenien,,,
"Stilarter, sange og steder",Hvilken sang er en kendt serbisk traditionel melodi med omkvædetitel Ajde Jano?,400,Ajde Jano,Ederlezi,Moj Dilbere,Kaval sviri,,,
"Stilarter, sange og steder",Hvilket land kommer vokalensemblet Le Mystère des Voix Bulgares fra?,500,Bulgarien,Albanien,Serbien,Grækenland,,,
"Stilarter, sange og steder",Hvilket land forbindes den traditionelle sang Moj Dilbere især med?,600,Bosnien-Hercegovina,Bulgarien,Rumænien,Tyrkiet,,,
"Stilarter, sange og steder",Hvilket land forbindes folkesangen Kaval sviri især med?,700,Bulgarien,Kroatien,Serbien,Albanien,,,
