Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
"Fysik, måling og forskning",Hvilket instrument bevægede sig under H.C. Ørsteds berømte forsøg med en strømførende ledning?,100,en kompasnål,et termometer,et barometer,et mikroskop,,,
"Fysik, måling og forskning",Hvilke to fænomener viste H.C. Ørsted en forbindelse mellem?,200,elektricitet og magnetisme,lys og lyd,tryk og temperatur,masse og tyngde,,,
"Fysik, måling og forskning",Hvilken ældre enhed for magnetisk feltstyrke er opkaldt efter H.C. Ørsted?,300,oersted,pascal,tesla,weber,,,
Medicin og bioteknologi,Hvilken behandlingsform forbindes især med Niels Ryberg Finsen?,100,lysterapi,kemoterapi,insulinbehandling,organtransplantation,,,
Medicin og bioteknologi,Hvilken hudsygdom blev behandlet med koncentreret lys på Finsens institut?,200,lupus vulgaris,psoriasis,kopper,mæslinger,,,
Medicin og bioteknologi,I hvilken by lå Finsens Medicinske Lysinstitut?,300,København,Aarhus,Odense,Reykjavík,,,
"Industri, transport og hverdag",I hvilken by blev LEGO grundlagt?,100,Billund,Nordborg,Bjerringbro,Struer,,,
"Industri, transport og hverdag","Hvilket år begyndte Ole Kirk Christiansens virksomhed, der senere blev LEGO?",200,1932,1925,1945,1958,,,
"Lyd, leg og digitale idéer",Hvilket år patenterede Valdemar Poulsen sin telegrafon?,100,1898,1876,1910,1925,,,
"Lyd, leg og digitale idéer",Hvilket medium optog de tidlige telegrafoner lyd på?,200,ståltråd,voksruller,magnetbånd af plast,grammofonplader,,,
