Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Klima og drivhuseffekt,Hvilken gas står for den største del af menneskeskabt opvarmning fra langlivede drivhusgasser siden industrialiseringen?,100,kuldioxid,ilt,argon,helium,,,
Klima og drivhuseffekt,Hvad er den kemiske formel for metan?,200,CH₄,CO₂,N₂O,O₃,,,
Klima og drivhuseffekt,Hvad er den kemiske formel for lattergas?,300,N₂O,NO₂,NH₃,SO₂,,,
Menneskelige udledninger,Hvilken drivhusgas dannes i drøvtyggeres fordøjelse?,100,metan,kuldioxid alene,svovldioxid,ozon i stratosfæren,,,
Menneskelige udledninger,Hvorfor kan skovrydning øge atmosfærens indhold af kuldioxid?,200,"kulstof frigives, og færre træer kan optage CO₂",skovrydning øger atmosfærens ilt til det dobbelte,jordens tyngdekraft bliver mindre,havets saltindhold falder straks,,,
Menneskelige udledninger,Hvilken proces i cementproduktion frigiver kuldioxid ud over energiforbruget?,300,"opvarmning af kalksten, så karbonat spaltes",afkøling af sand med vand,formaling af grus alene,hærdning ved tilsætning af salt,,,
Følger og risici,Hvilken ændring bidrager direkte til stigende havniveau?,100,tab af is fra gletsjere og indlandsis på land,smeltning af flydende havis alene,dannelse af flere skyer,lavere bølger i kystzoner,,,
Følger og risici,Hvorfor hæver smeltende havis kun havniveauet meget lidt direkte?,200,isen flyder allerede og fortrænger næsten sin egen masse i vand,havis indeholder ingen vandmolekyler,havis smelter kun om natten,alt smeltevand fordamper straks,,,
Løsninger og aftaler,Hvad betyder klimatilpasning?,100,at justere samfund og naturforvaltning til faktiske eller forventede klimavirkninger,at ændre Jordens bane,at stoppe al økonomisk aktivitet,at erstatte alle vejrudsigter med klimamodeller,,,
Løsninger og aftaler,Hvad betyder klimaresiliens?,200,"evnen til at håndtere, tilpasse sig og komme sig efter klimarelaterede påvirkninger",evnen til at undgå alle former for vejr,at et system aldrig ændrer sig,at udledninger ikke kan måles,,,
