Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Rødder og hjemsteder,Hvilken genre forbindes historisk med afroamerikanske kirker og religiøs sang i USA?,100,gospel,flamenco,techno,calypso,,,
Rødder og hjemsteder,Hvilken amerikansk genre udviklede sig blandt andet af folkemusik fra Sydstaterne og Appalachia?,200,country,tango,dub,chanson,,,
Rødder og hjemsteder,Hvilken genre forbindes især med Bill Monroe og akustisk strygemusik fra Appalachia?,300,bluegrass,bebop,soca,ambient,,,
Rytmer og instrumenter,"Hvad kaldes den rytmiske fornemmelse i meget jazz, hvor underdelingerne spilles ujævnt?",100,swing,staccato,bordun,rubato,,,
Rytmer og instrumenter,"Hvilket musikalsk element er centralt i store dele af jazzen, hvor musikere skaber melodier i øjeblikket?",200,improvisation,lip-sync,kanonisk notation,playback,,,
Rytmer og instrumenter,Hvilket femstrenget instrument er særlig karakteristisk i bluegrass?,300,banjo,bandoneon,sitar,obo,,,
Kunstnere og gennembrud,Hvilken bluesmusiker forbindes med indspilninger som “Cross Road Blues” fra 1930'erne?,100,Robert Johnson,Duke Ellington,Woody Guthrie,Fats Domino,,,
Kunstnere og gennembrud,Hvilken sangerinde blev kendt som “Queen of Gospel”?,200,Mahalia Jackson,Patsy Cline,Billie Holiday,Miriam Makeba,,,
Stilarter og undergenrer,Hvilken jazzretning fra slutningen af 1940'erne og 1950'erne forbindes med et mere afdæmpet udtryk og Miles Davis' “Birth of the Cool”?,100,cool jazz,free jazz,acid jazz,jazz fusion,,,
Stilarter og undergenrer,Hvilken jazzretning bryder ofte med faste akkordskemaer og traditionel form?,200,free jazz,hard bop,swing,ragtime,,,
