Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Kommunikation og medier,"Hvilket kommunikationssystem bruger korte og lange signaler, ofte skrevet som prikker og streger?",100,morsekode,Brailleskrift,binær stregkode,stenografi,,,
Kommunikation og medier,Hvem fik i 1876 et centralt amerikansk patent på telefonen?,200,Alexander Graham Bell,Samuel Morse,Guglielmo Marconi,Thomas Edison,,,
Kommunikation og medier,"Hvad kaldes den berømte bibel, som Gutenberg trykte i 1450’erne?",300,Gutenbergbibelen,Lindisfarneevangelierne,Kellsbogen,Codex Sinaiticus,,,
Transport og maskiner,Hvem fik i 1886 patent på Benz Patent-Motorwagen?,100,Karl Benz,Gottlieb Daimler,Nikolaus Otto,Rudolf Diesel,,,
Transport og maskiner,Hvilken forbedring af dampmaskinen patenterede James Watt i 1769?,200,den separate kondensator,den pneumatiske bremse,den indvendige forbrænding,den elektriske starter,,,
Transport og maskiner,"Hvad hed lokomotivet, som George og Robert Stephenson vandt Rainhill Trials med i 1829?",300,Rocket,Locomotion No. 1,Puffing Billy,Mallard,,,
Medicin og hverdag,Hvilken proces opvarmer fødevarer eller drikke for at reducere skadelige mikroorganismer?,100,pasteurisering,sterilfiltrering,destillation,lyofilisering,,,
Medicin og hverdag,Hvem opdagede penicillins antibakterielle virkning i 1928?,200,Alexander Fleming,Howard Florey,Ernst Chain,Gerhard Domagk,,,
Elektronik og computere,Hvem skrev en berømt algoritme til Babbages Analytical Engine i sine noter om Bernoulli-tal?,100,Ada Lovelace,Grace Hopper,Margaret Hamilton,Jean Bartik,,,
Elektronik og computere,Hvem udviklede et hulkortbaseret tabuleringssystem til den amerikanske folketælling i 1890?,200,Herman Hollerith,Charles Babbage,Konrad Zuse,John Atanasoff,,,
