Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Pionerer og milepæle,Hvem blev det første menneske på Månen?,100,Neil Armstrong,Buzz Aldrin,Michael Collins,Pete Conrad,,,
Pionerer og milepæle,Hvilken mission gennemførte den første bemandede månelanding?,200,Apollo 11,Apollo 8,Apollo 10,Apollo 12,,,
Pionerer og milepæle,Hvem blev det andet menneske på Månen?,300,Buzz Aldrin,Michael Collins,Alan Bean,Jim Lovell,,,
Pionerer og milepæle,Hvem blev den første amerikaner i kredsløb om Jorden?,400,John Glenn,Alan Shepard,Gus Grissom,Wally Schirra,,,
Pionerer og milepæle,Hvilken mission sendte de første mennesker i kredsløb om Månen?,500,Apollo 8,Apollo 7,Apollo 10,Apollo 11,,,
Pionerer og milepæle,Hvilken mission var den første bemandede flyvning i Apollo-programmet?,600,Apollo 7,Apollo 1,Apollo 8,Apollo 9,,,
Pionerer og milepæle,Hvad hed John Glenns kapsel på den første amerikanske kredsløbsflyvning?,700,Friendship 7,Freedom 7,Faith 7,Sigma 7,,,
Raketter og rumfartøjer,Hvilken raket er kendt for at lande og genbruge sit første trin efter mange opsendelser?,100,Falcon 9,Saturn V,Ariane 5,Vostok-K,,,
Raketter og rumfartøjer,"Hvad hedder SpaceX-kapslen, der kan transportere astronauter til rumstationen?",200,Crew Dragon,Orion,Starliner,Cygnus,,,
Raketter og rumfartøjer,Hvilken europæisk raket blev brugt til at opsende James Webb-rumteleskopet?,300,Ariane 5,Ariane 1,Vega C,Soyuz 2,,,
Raketter og rumfartøjer,Hvilken russisk raketfamilie har i årtier sendt Soyuz-rumfartøjer i kredsløb?,400,Soyuz,Proton,Energia,N1,,,
Raketter og rumfartøjer,Hvad hedder NASAs kapsel til bemandede missioner længere ud end lavt kredsløb?,500,Orion,Dragonfly,Voyager,Pioneer,,,
Raketter og rumfartøjer,Hvilke dele af rumfærgesystemet blev bjærget fra havet og genbrugt?,600,faststofboosterne,den eksterne tank,hovedmotorernes brændstof,nyttelastkappen på alle missioner,,,
Månen og Mars,"Hvad hed den første rover, der kørte på Mars?",100,Sojourner,Spirit,Opportunity,Curiosity,,,
Månen og Mars,"Hvad hed de to identiske Mars-rovere, der landede i 2004?",200,Spirit og Opportunity,Curiosity og Perseverance,Viking 1 og Viking 2,Sojourner og Phoenix,,,
Månen og Mars,Hvilken NASA-lander gennemførte den første vellykkede amerikanske landing på Mars?,300,Viking 1,Mariner 9,Mars Pathfinder,Phoenix,,,
Månen og Mars,Hvilken mission bragte roveren Sojourner til Mars?,400,Mars Pathfinder,Viking 1,Mars Global Surveyor,Mars Odyssey,,,
Månen og Mars,Hvilken landingsmetode brugte Mars Pathfinder til den sidste del af nedstigningen?,500,store airbags,en bemandet landingsbane,kun en faldskærm uden raketter,et solsejl,,,
Månen og Mars,Hvilken sonde blev det første rumfartøj i kredsløb om en anden planet?,600,Mariner 9,Mariner 4,Venera 7,Pioneer 10,,,
Satellitter og rumstationer,Hvilken rumfærge opsendte Hubble-rumteleskopet i 1990?,100,Discovery,Columbia,Atlantis,Endeavour,,,
Satellitter og rumstationer,Hvilket område af det elektromagnetiske spektrum observerer James Webb-rumteleskopet især?,200,infrarødt lys,radiobølger alene,gammastråling alene,synligt grønt lys alene,,,
Satellitter og rumstationer,Omkring hvilket Lagrange-punkt opererer James Webb-rumteleskopet?,300,Sol-Jord L2,Jord-Måne L1,Sol-Jord L5,Jordens geostationære bane,,,
Satellitter og rumstationer,Hvilken type stråling observerer Chandra-røntgenobservatoriet?,400,røntgenstråling,mikrobølger,ultraviolet lys alene,radiobølger alene,,,
Satellitter og rumstationer,Hvilket teleskop var et af NASAs store observatorier og målte især gammastråling?,500,Compton Gamma Ray Observatory,Spitzer Space Telescope,Kepler Space Telescope,TESS,,,
Satellitter og rumstationer,Hvilket rumteleskop observerede universet især i infrarødt lys fra 2003 til 2020?,600,Spitzer Space Telescope,Chandra,Fermi,Gaia,,,
