Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og styreformer,Hvad betaler man officielt med i Grønland?,100,danske kroner,euro,islandske kroner,canadiske dollars,,,
Lande og styreformer,Hvilket betalingsmiddel anvendes på Åland?,200,euro,svenske kroner,danske kroner,norske kroner,,,
Lande og styreformer,Hvilket rige er Færøerne en selvstyrende del af?,300,Kongeriget Danmark,Kongeriget Norge,Republikken Finland,Kongeriget Sverige,,,
Lande og styreformer,Hvilket rige er Grønland en selvstyrende del af?,400,Kongeriget Danmark,Kongeriget Norge,Republikken Island,Republikken Finland,,,
Lande og styreformer,Hvilken stat er Åland en selvstyrende del af?,500,Finland,Sverige,Danmark,Norge,,,
Lande og styreformer,Hvilken institution er Danmarks parlament?,600,Folketinget,Stortinget,Riksdagen,Altinget,,,
Lande og styreformer,Hvilket navn har det norske parlament?,700,Stortinget,Folketinget,Riksdagen,Eduskunta,,,
Natur og geografi,Hvilken bjergtop er Islands højeste?,100,Hvannadalshnúkur,Hekla,Katla,Galdhøpiggen,,,
Natur og geografi,Hvilket bjerg rager højest op i Grønland?,200,Gunnbjørn Fjeld,Hvannadalshnúkur,Halti,Kebnekaise,,,
Natur og geografi,Hvilken færøsk top er øgruppens højeste?,300,Slættaratindur,Sornfelli,Orrdalsklint,Galdhøpiggen,,,
Natur og geografi,Hvilken høj er Ålands højeste punkt?,400,Orrdalsklint,Slættaratindur,Halti,Møllehøj,,,
Natur og geografi,Hvilken sø er størst i Sverige?,500,Vänern,Vättern,Mjøsa,Saimaa,,,
Natur og geografi,Hvad er navnet på Norges største sø?,600,Mjøsa,Vänern,Saimaa,Femunden,,,
Sprog og kultur,Hvilken sprogfamilie tilhører finsk?,100,den uralske sprogfamilie,den romanske sprogfamilie,den keltiske sprogfamilie,den semitiske sprogfamilie,,,
Sprog og kultur,Hvad kaldes grønlandsk normalt på grønlandsk?,200,kalaallisut,suomi,íslenska,føroyskt,,,
Sprog og kultur,Hvilket af disse sprog er nærmest beslægtet med islandsk?,300,færøsk,finsk,grønlandsk,samisk,,,
Sprog og kultur,"Hvad kaldes korsmotivet, som går igen i de fleste nordiske flag?",400,det nordiske kors,Sankt Georgs kors,Malteserkorset,andreaskorset,,,
Sprog og kultur,Hvad hedder Danmarks flag?,500,Dannebrog,Merkið,Trikoloren,Sennepsflaget,,,
Sprog og kultur,Hvordan ser Sveriges flags farver ud?,600,blåt med gult kors,rødt med hvidt kors,hvidt med blåt kors,blåt med rødt kors,,,
Historie og samarbejde,"Hvilke to selvstændige nordiske lande er med i EØS, men ikke i EU?",100,Norge og Island,Danmark og Sverige,Finland og Island,Norge og Finland,,,
Historie og samarbejde,Hvilket islandsk parlament har rødder tilbage til år 930?,200,Alþingi,Stortinget,Riksdagen,Folketinget,,,
Historie og samarbejde,Hvilken dato fejrer Norge sin grundlovsdag?,300,17. maj,6. juni,17. juni,5. juni,,,
Historie og samarbejde,Hvilket år erklærede Finland sig uafhængigt?,400,1917,1905,1922,1944,,,
Historie og samarbejde,Hvilket år blev Island en selvstændig republik?,500,1944,1918,1939,1952,,,
Historie og samarbejde,Hvilket år begyndte Ålands selvstyre at fungere?,600,1922,1905,1948,1979,,,
