Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Symboler og navne,Hvad er det kemiske symbol for fosfor?,100,P,Cl,Fe,Se,,,
Symboler og navne,Hvilket grundstof har symbolet S?,200,Svovl,Klor,Mangan,Gallium,,,
Symboler og navne,Hvad er det kemiske symbol for klor?,300,Cl,K,Ni,Kr,,,
Symboler og navne,Hvilket grundstof har symbolet Ar?,400,Argon,Kalium,Kobolt,Arsen,,,
Symboler og navne,Hvad er det kemiske symbol for kalium?,500,K,Ti,Zn,Sn,,,
Symboler og navne,Hvilket grundstof har symbolet Ca?,600,Calcium,Titan,Kobber,Brom,,,
Symboler og navne,Hvad er det kemiske symbol for titan?,700,Ti,Mn,Ge,Xe,,,
Atomnumre og system,Hvad er atomnummeret for kalium?,100,19,20,18,21,,,
Atomnumre og system,Hvad er atomnummeret for calcium?,200,20,21,19,22,,,
Atomnumre og system,Hvad er atomnummeret for titan?,300,22,23,21,24,,,
Atomnumre og system,Hvad er atomnummeret for krom?,400,24,25,23,26,,,
Atomnumre og system,Hvad er atomnummeret for mangan?,500,25,26,24,27,,,
Atomnumre og system,Hvad er atomnummeret for jern?,600,26,27,25,28,,,
Grupper og egenskaber,Hvilket metal er det mest udbredte i Jordens skorpe?,100,Aluminium,Jern,Kobber,Calcium,,,
Grupper og egenskaber,Hvilket grundstof kan danne både diamant og grafit?,200,Kulstof,Silicium,Svovl,Bor,,,
Grupper og egenskaber,Hvilket grundstof er ferromagnetisk ved stuetemperatur sammen med jern og kobolt?,300,Nikkel,Kobber,Zink,Sølv,,,
Grupper og egenskaber,Hvilket grundstof har den højeste atommasse blandt de naturligt forekommende ædelgasser?,400,Radon,Xenon,Krypton,Argon,,,
Grupper og egenskaber,Hvilket grundstof ligger direkte under fluor i gruppe 17?,500,Klor,Brom,Ilt,Neon,,,
Grupper og egenskaber,Hvilket grundstof ligger direkte under natrium i gruppe 1?,600,Kalium,Lithium,Calcium,Magnesium,,,
Stoffer og anvendelser,Hvilket grundstof bruges i mange genopladelige batterier til mobiltelefoner?,100,Lithium,Helium,Neon,Argon,,,
Stoffer og anvendelser,"Hvilken gas bruges ofte til at fylde balloner, fordi den er lettere end luft og ikke brændbar?",200,Helium,Hydrogen,Ilt,Kvælstof,,,
Stoffer og anvendelser,Hvilket grundstof bruges til galvanisering af jern for at beskytte mod rust?,300,Zink,Tin,Sølv,Nikkel,,,
Stoffer og anvendelser,Hvilket grundstof anvendes i rustfrit stål for blandt andet at øge korrosionsbestandigheden?,400,Krom,Natrium,Svovl,Brom,,,
Stoffer og anvendelser,Hvilket grundstof er det radioaktive brændsel i mange kernekraftværker?,500,Uran,Radon,Radium,Helium,,,
Stoffer og anvendelser,Hvilken forbindelse har formlen NH₃?,600,Ammoniak,Metan,Saltsyre,Svovldioxid,,,
