Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
"Ansigt, blik og bevægelse",Hvad kan et hurtigt øjenbrynsløft i nogle sammenhænge fungere som?,100,en kort hilsen eller genkendelse,et universelt faresignal,et juridisk samtykke,et tegn på blindhed,,,
"Ansigt, blik og bevægelse","Hvad kaldes det, når en person ubevidst tilpasser sin kropsholdning til en anden?",200,spejling,transskription,artikulation,projektion,,,
"Ansigt, blik og bevægelse","Hvilken bevægelse viser oftest, at en lytter følger med uden at afbryde?",300,små nik,at vende ryggen til,at lukke døren,at forlade rummet,,,
"Ansigt, blik og bevægelse",Hvad kan en tydeligt hævet håndflade mod en taler ofte signalere?,400,stop eller vent,at man ikke har hænder,at man vil hviske,at man sover,,,
"Ansigt, blik og bevægelse",Hvad er mimik?,500,bevægelser og udtryk i ansigtet,ordstilling i sætninger,lyd fra maskiner,afstand mellem personer,,,
"Ansigt, blik og bevægelse",Hvad er en gestus?,600,en meningsbærende kropsbevægelse,en skriftlig overskrift,en type fodtøj,en kemisk reaktion,,,
"Ansigt, blik og bevægelse","Hvilken ansigtsdel er central for et ægte eller socialt smil, men kan ikke alene afgøre oprigtighed?",700,mund og øjenområde,ører og nakke,hår og pande alene,underarme og knæ,,,
"Stemme, rum og berøring",Hvilken afstand bruges ofte ved mere formelle møder og kundekontakt?,100,social afstand,intim afstand,søvnzone,berøringszone,,,
"Stemme, rum og berøring",Hvilken afstand bruges typisk af en taler foran en større forsamling?,200,offentlig afstand,intim afstand,personlig afstand,håndtryksafstand,,,
"Stemme, rum og berøring","Hvad kan det signalere, hvis en person konsekvent kommer meget for sent i en kultur, hvor punktlighed vægtes?",300,lav prioritering eller manglende respekt,altid sygdom,altid høj status,altid begejstring,,,
"Stemme, rum og berøring",Hvilken type berøring er et håndtryk?,400,en haptisk hilsen,en vokal pause,en rumlig barriere,en ansigtskode,,,
"Stemme, rum og berøring",Hvad kan tonefald ændre ved en ellers identisk sætning?,500,den opfattede mening og følelse,stavemåden,antallet af bogstaver,sætningslængden på papir,,,
"Stemme, rum og berøring",Hvad kan meget høj talestyrke blive opfattet som afhængigt af konteksten?,600,entusiasme eller dominans,altid hvisken,altid usikkerhed,altid høretab,,,
Samtalens funktioner,Hvad kan en åben kropsorientering mod en taler understøtte?,100,opmærksomhed og tilgængelighed,altid enighed,altid romantisk interesse,altid underkastelse,,,
Samtalens funktioner,Hvad kan fysisk tilbagetrækning under et emne vise?,200,ubehag eller behov for mere afstand,et sikkert tegn på løgn,at personen ikke kan høre,at emnet er korrekt,,,
Samtalens funktioner,Hvad er impression management?,300,forsøg på at påvirke det indtryk andre får,at glemme alle indtryk,at måle stemmens frekvens,at oversætte kropsbevægelser til tal,,,
Samtalens funktioner,Hvad kan uniformer og arbejdstøj kommunikere?,400,rolle og tilhørsforhold,personens præcise tanker,altid politisk holdning,personens blodtype,,,
Samtalens funktioner,Hvad kan placeringen ved et mødebord påvirke?,500,"oplevelsen af adgang, status og deltagelse",stavningen af deltagernes navne,den biologiske alder,antallet af ord i sproget,,,
Samtalens funktioner,Hvad kan synkroniserede bevægelser mellem to personer være forbundet med?,600,samspil og social koordinering,altid manipulation,altid uenighed,manglende syn,,,
"Kultur, forskning og myter",Hvilken forsker forbindes med begrebet proxemics?,100,Edward T. Hall,Charles Darwin,Noam Chomsky,Ivan Pavlov,,,
"Kultur, forskning og myter",Hvilken forsker udgav “The Expression of the Emotions in Man and Animals” i 1872?,200,Charles Darwin,Edward T. Hall,Paul Watzlawick,B.F. Skinner,,,
"Kultur, forskning og myter",Hvilken forsker er kendt for studier af ansigtsudtryk og Facial Action Coding System sammen med Wallace Friesen?,300,Paul Ekman,Albert Mehrabian,Ray Birdwhistell,Erving Goffman,,,
"Kultur, forskning og myter",Hvad måler Facial Action Coding System?,400,synlige bevægelser i ansigtsmuskulaturen,personlighed ud fra kraniet,løgn med 100 procents sikkerhed,ordforråd i en samtale,,,
"Kultur, forskning og myter",Hvad er en vigtig begrænsning ved mikroudtryk?,500,de afslører ikke automatisk årsagen til følelsen eller løgn,de kan aldrig ses,de varer altid flere minutter,de findes kun hos skuespillere,,,
"Kultur, forskning og myter",Hvad viser tværkulturel forskning om ansigtsudtryk?,600,der findes både fællestræk og kulturelle forskelle,alle udtryk fortolkes identisk,ingen følelser vises i ansigtet,kun sprog påvirker fortolkningen,,,
