Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Byer og kendte steder,Hvilken by er hjemsted for kunstmuseet HEART og en stærk tekstiltradition?,100,Herning,Holstebro,Silkeborg,Viborg,,,
Byer og kendte steder,Hvilken by har middelalderdomkirken med berømte kalkmalerier af Joakim Skovgaard?,200,Viborg,Aalborg,Ribe,Haderslev,,,
Byer og kendte steder,Hvilken by ligger ved Mariager Fjord og har vikingeborgen Fyrkat tæt på?,300,Hobro,Randers,Grenaa,Skive,,,
Byer og kendte steder,Hvilken østjysk by er kendt for fregatten Jylland og den gamle købstadsmidte?,400,Ebeltoft,Grenaa,Horsens,Vejle,,,
Byer og kendte steder,Hvilken by på Djursland har færgehavn med ruter over Kattegat?,500,Grenaa,Ebeltoft,Randers,Skanderborg,,,
Byer og kendte steder,Hvilken vestjysk by ligger ved Nissum Bredning og er kendt for Museet for Religiøs Kunst?,600,Lemvig,Ringkøbing,Holstebro,Esbjerg,,,
Byer og kendte steder,Hvilken by ved Ringkøbing Fjord har en bevaret gammel købstadskerne med røde tegltage?,700,Ringkøbing,Skjern,Varde,Tønder,,,
Landskab og farvande,Hvilken fjord ligger mellem Holmsland Klit og det vestjyske fastland?,100,Ringkøbing Fjord,Nissum Fjord,Horsens Fjord,Mariager Fjord,,,
Landskab og farvande,Hvilken fjord kaldes ofte Danmarks smukkeste og ligger mellem Hadsund og Hobro?,200,Mariager Fjord,Vejle Fjord,Kolding Fjord,Haderslev Fjord,,,
Landskab og farvande,Hvilken vestjysk klit blev gennembrudt af Nordsøen under stormfloden i 1825?,300,Agger Tange,Holmsland Klit,Skallingen,Blåvandshuk,,,
Landskab og farvande,"Hvad hedder den markante kalkklint ved Jammerbugten, som er Danmarks eneste fuglefjeld?",400,Bulbjerg,Møns Klint,Stevns Klint,Hanklit,,,
Landskab og farvande,Hvilket bakkelandskab syd for Aalborg er kendt for lyngbakker og nationalfesten den 4. juli?,500,Rebild Bakker,Mols Bjerge,Svanninge Bakker,Dollerup Bakker,,,
Landskab og farvande,"Hvad hedder Danmarks største sammenhængende skovområde, som ligger syd for Aalborg?",600,Rold Skov,Gribskov,Almindingen,Silkeborg Vesterskov,,,
Historie og arkæologi,Hvilken sønderjysk landsdel blev genforenet med Danmark i 1920?,100,Nordslesvig,Holsten,Skåne,Sydslesvig,,,
Historie og arkæologi,Hvilken reformator prædikede i Viborg og blev kaldt Danmarks Luther?,200,Hans Tausen,Peder Palladius,Niels Hemmingsen,Christiern Pedersen,,,
Historie og arkæologi,Hvilken bondeleder stod i spidsen for oprøret i Nordjylland under Grevens Fejde?,300,Skipper Clement,Svend Gønge,Niels Ebbesen,Marsk Stig,,,
Historie og arkæologi,Hvilken jysk herremand dræbte grev Gerhard 3. i Randers i 1340 ifølge traditionen?,400,Niels Ebbesen,Skipper Clement,Ebbe Skammelsøn,Peder Oxe,,,
Historie og arkæologi,Hvilken by var i middelalderen et vigtigt sted for kongehyldninger ved landstinget?,500,Viborg,Esbjerg,Herning,Frederikshavn,,,
Historie og arkæologi,Hvilken samling af love blev knyttet til Valdemar Sejr og vedtaget i Vordingborg i 1241?,600,Jyske Lov,Skånske Lov,Danske Lov,Kongeloven,,,
"Kultur, erhverv og forbindelser",Hvad kaldes det store sønderjyske kaffebord med mange slags kager?,100,det sønderjyske kaffebord,det fynske kagebord,det vestjyske smørrebrød,det bornholmske sildebord,,,
"Kultur, erhverv og forbindelser",Hvilken musikfestival afholdes hvert år i Skanderborg Dyrehave?,200,Smukfest,NorthSide,Roskilde Festival,Tinderbox,,,
"Kultur, erhverv og forbindelser",Hvilken festival i Aarhus har siden 1965 præsenteret kunst og kultur i byen?,300,Aarhus Festuge,Kulturmødet Mors,Distortion,Golden Days,,,
"Kultur, erhverv og forbindelser",Hvilken festival i Tønder er især kendt for folk- og rootsmusik?,400,Tønder Festival,Jelling Musikfestival,NorthSide,Skagen Festival,,,
"Kultur, erhverv og forbindelser",Hvilken årlig musikfestival afholdes tæt på Jellinghøjene?,500,Jelling Musikfestival,Nibe Festival,Grøn Koncert,Spot Festival,,,
"Kultur, erhverv og forbindelser",Hvilket universitet blev grundlagt i Aarhus i 1928?,600,Aarhus Universitet,Aalborg Universitet,Syddansk Universitet,Roskilde Universitet,,,
